state,statefp,cd113fp,zip5
AK,02,00,99662
AK,02,00,99663
AK,02,00,99664
AK,02,00,99665
AK,02,00,99666
AK,02,00,99667
AK,02,00,99668
AK,02,00,99669
AK,02,00,99670
AK,02,00,99671
AK,02,00,99672
AK,02,00,99674
AK,02,00,99675
AK,02,00,99676
AK,02,00,99677
AK,02,00,99678
AK,02,00,99679
AK,02,00,99680
AK,02,00,99681
AK,02,00,99682
AK,02,00,99683
AK,02,00,99684
AK,02,00,99685
AK,02,00,99686
AK,02,00,99687
AK,02,00,99688
AK,02,00,99689
AK,02,00,99690
AK,02,00,99691
AK,02,00,99692
AK,02,00,99693
AK,02,00,99694
AK,02,00,99695
AK,02,00,99697
AK,02,00,99701
AK,02,00,99702
AK,02,00,99703
AK,02,00,99704
AK,02,00,99705
AK,02,00,99706
AK,02,00,99707
AK,02,00,99708
AK,02,00,99709
AK,02,00,99710
AK,02,00,99711
AK,02,00,99712
AK,02,00,99714
AK,02,00,99716
AK,02,00,99720
AK,02,00,99721
AK,02,00,99722
AK,02,00,99723
AK,02,00,99724
AK,02,00,99725
AK,02,00,99726
AK,02,00,99727
AK,02,00,99729
AK,02,00,99730
AK,02,00,99731
AK,02,00,99732
AK,02,00,99733
AK,02,00,99734
AK,02,00,99736
AK,02,00,99737
AK,02,00,99738
AK,02,00,99739
AK,02,00,99740
AK,02,00,99741
AK,02,00,99742
AK,02,00,99743
AK,02,00,99744
AK,02,00,99745
AK,02,00,99746
AK,02,00,99747
AK,02,00,99748
AK,02,00,99749
AK,02,00,99750
AK,02,00,99751
AK,02,00,99752
AK,02,00,99753
AK,02,00,99754
AK,02,00,99755
AK,02,00,99756
AK,02,00,99757
AK,02,00,99758
AK,02,00,99759
AK,02,00,99760
AK,02,00,99761
AK,02,00,99762
AK,02,00,99763
AK,02,00,99764
AK,02,00,99765
AK,02,00,99766
AK,02,00,99767
AK,02,00,99768
AK,02,00,99769
AK,02,00,99770
AK,02,00,99771
AK,02,00,99772
AK,02,00,99773
AK,02,00,99774
AK,02,00,99775
AK,02,00,99776
AK,02,00,99777
AK,02,00,99778
AK,02,00,99779
AK,02,00,99780
AK,02,00,99781
AK,02,00,99782
AK,02,00,99784
AK,02,00,99785
AK,02,00,99786
AK,02,00,99788
AK,02,00,99789
AK,02,00,99790
AK,02,00,99791
AK,02,00,99801
AK,02,00,99802
AK,02,00,99803
AK,02,00,99811
AK,02,00,99812
AK,02,00,99820
AK,02,00,99821
AK,02,00,99824
AK,02,00,99825
AK,02,00,99826
AK,02,00,99827
AK,02,00,99829
AK,02,00,99830
AK,02,00,99832
AK,02,00,99833
AK,02,00,99835
AK,02,00,99836
AK,02,00,99840
AK,02,00,99841
AK,02,00,99850
AK,02,00,99901
AK,02,00,99903
AK,02,00,99918
AK,02,00,99919
AK,02,00,99921
AK,02,00,99922
AK,02,00,99923
AK,02,00,99925
AK,02,00,99926
AK,02,00,99927
AK,02,00,99928
AK,02,00,99929
AK,02,00,99950
AK,02,00,99585
AK,02,00,99583
AK,02,00,99581
AK,02,00,99571
AK,02,00,99529
AK,02,00,99524
AK,02,00,99523
AK,02,00,99522
AK,02,00,99521
AK,02,00,99514
AK,02,00,99513
